step,bear_target,bear_other,w_cmd,on_target,v_cmd,dist_target,dist_other,estop
208,123.6,158.8,-0.600,1,0.281,2.357,4.564,0
209,125.8,159.3,-0.600,1,0.282,2.392,4.553,0
210,127.9,159.8,-0.600,1,0.285,2.431,4.546,0
211,130.4,160.6,-0.600,1,0.288,2.479,4.550,0
212,134.1,162.4,-0.600,1,0.291,2.536,4.563,0
213,138.5,165.0,-0.600,1,0.292,2.602,4.582,0
214,143.2,168.2,-0.600,1,-0.256,2.678,4.604,0
215,148.0,171.5,-0.600,1,0.323,2.763,4.553,0
216,152.1,174.6,-0.600,1,0.306,2.851,4.497,0
217,155.8,177.5,-0.600,1,0.291,2.946,4.444,0
218,159.5,-179.3,-0.600,1,0.260,3.050,4.397,0
219,163.1,-175.8,-0.600,1,0.290,3.158,4.353,0
220,166.3,-172.5,-0.600,1,0.317,3.267,4.313,0
221,169.4,-169.1,-0.600,0,0.320,3.379,4.277,0
222,172.4,-165.6,-0.600,0,0.315,3.492,4.248,0
223,175.4,-162.1,-0.600,0,0.311,3.607,4.226,0
224,178.5,-158.5,-0.600,0,0.293,3.723,4.210,0
225,-178.5,-155.1,-0.600,0,0.313,3.838,4.200,0
226,-175.6,-151.8,-0.600,0,0.288,3.951,4.190,0
227,-172.8,-148.6,-0.600,0,0.298,4.062,4.180,0
228,-169.8,-145.3,-0.600,0,0.303,4.169,4.168,0
229,-167.7,-143.0,-0.600,0,0.304,4.268,4.153,0
230,-166.1,-141.2,-0.600,0,0.307,4.358,4.133,0
231,-163.8,-138.8,-0.600,0,0.313,4.450,4.119,0
232,-161.6,-136.6,-0.600,0,0.326,4.535,4.105,0
233,-159.1,-134.1,-0.600,0,0.310,4.619,4.093,0
234,-156.3,-131.3,-0.600,0,0.302,4.699,4.083,0
235,-153.4,-128.6,-0.600,0,0.316,4.773,4.072,0
236,-150.5,-125.8,-0.600,0,0.322,4.840,4.062,0
237,-147.6,-123.1,-0.600,0,0.321,4.900,4.051,0
238,-144.6,-120.2,-0.600,0,0.326,4.952,4.039,0
239,-141.7,-117.5,-0.600,0,0.324,4.995,4.026,0
240,-139.0,-114.9,-0.600,0,0.405,5.031,4.013,0
241,-136.2,-112.2,-0.600,0,0.431,5.059,4.000,0
242,-133.2,-109.4,-0.600,0,0.539,5.082,3.989,0
243,-130.7,-106.6,-0.600,0,0.498,5.104,3.977,0
244,-128.7,-103.9,-0.600,0,0.750,5.134,3.966,0
245,-126.8,-101.2,-0.600,0,0.750,5.163,3.953,0
246,-125.0,-98.7,-0.600,0,0.750,5.195,3.940,0
247,-122.8,-96.2,-0.600,0,0.750,5.229,3.926,0
248,-120.1,-93.7,-0.600,0,0.750,5.263,3.909,0
249,-117.7,-91.3,-0.600,0,0.750,5.302,3.889,0
250,-115.3,-89.1,-0.600,0,0.750,5.348,3.866,0
251,-113.0,-86.8,-0.600,0,0.750,5.391,3.841,0
252,-110.8,-84.7,-0.600,0,0.750,5.430,3.812,0
253,-108.5,-82.6,-0.600,0,0.750,5.465,3.781,0
254,-106.4,-80.4,-0.600,0,0.750,5.496,3.747,0
255,-104.4,-78.5,-0.600,0,0.750,5.526,3.710,0
256,-102.4,-76.5,-0.600,0,0.750,5.553,3.671,0
257,-100.3,-74.4,-0.600,0,0.750,5.578,3.629,0
258,-98.3,-72.4,-0.600,0,0.750,5.600,3.585,0
259,-96.3,-70.4,-0.600,0,0.296,5.619,3.538,0
260,-94.3,-68.4,-0.600,0,0.318,5.636,3.489,0
261,-92.3,-66.2,-0.600,0,0.313,5.650,3.439,0
262,-90.1,-63.9,-0.600,0,0.325,5.661,3.394,0
263,-88.2,-61.7,-0.600,0,0.338,5.672,3.354,0
264,-86.3,-59.5,-0.600,0,0.737,5.681,3.316,0
265,-84.5,-57.3,-0.600,0,0.462,5.690,3.278,0
266,-82.7,-55.2,-0.600,0,0.426,5.697,3.235,0
267,-80.8,-52.9,-0.600,0,0.750,5.703,3.191,0
268,-78.9,-50.6,-0.600,0,0.750,5.709,3.147,0
269,-77.0,-48.4,-0.600,0,0.366,5.711,3.096,0
270,-75.1,-46.1,-0.600,0,0.394,5.708,3.036,0
271,-73.2,-43.7,-0.600,0,0.387,5.703,2.972,0
272,-71.1,-41.1,-0.600,0,0.343,5.700,2.917,0
273,-69.2,-38.6,-0.600,0,0.366,5.699,2.870,0
274,-67.3,-36.1,-0.600,0,0.337,5.700,2.829,0
275,-65.5,-33.7,-0.600,0,0.332,5.701,2.789,0
276,-63.7,-31.1,-0.600,0,0.316,5.702,2.751,0
277,-61.9,-28.5,-0.600,0,0.307,5.703,2.714,0
278,-60.1,-25.9,-0.600,0,0.390,5.704,2.680,0
279,-58.3,-23.2,-0.600,0,0.359,5.706,2.647,0
280,-56.4,-20.4,-0.600,0,0.335,5.704,2.611,0
281,-54.5,-17.6,-0.600,0,0.338,5.702,2.576,0
282,-52.7,-14.7,-0.600,0,0.328,5.701,2.544,0
283,-50.8,-11.8,-0.600,0,0.369,5.700,2.514,0
284,-49.0,-8.9,-0.600,0,0.332,5.699,2.487,0
285,-47.1,-5.8,-0.600,0,0.422,5.696,2.459,0
286,-45.2,-2.7,-0.600,0,0.605,5.694,2.434,0
287,-43.2,0.5,-0.600,0,0.435,5.687,2.405,0
288,-41.2,3.9,-0.600,0,0.388,5.673,2.370,0
289,-39.1,7.6,-0.600,0,0.302,5.660,2.338,0
